type,title,description,era,color,layout,theme,display_mode,media_type,year,image_url,in_rooms,in_galleries,in_vitrines
room,"Drachenfels & Burgruine","Der Drachenfels ist mit 321 Metern das Wahrzeichen des Siebengebirges. Die Burgruine aus dem 12. Jahrhundert wurde vom Kölner Erzbischof Friedrich I. erbaut und diente als Wegezoll-Station am Rhein. Dichter wie Byron und Goethe besangen den Felsen.",mittelalter,#4A2C0A,,,,,,,,,
room,"Schloss Drachenburg","Das neogotische Schloss Drachenburg wurde 1882–1884 im Auftrag des Börsenmaklers Stephan von Sarter errichtet. Es gilt als Meisterwerk des Historismus am Mittelrhein und beherbergt heute ein Museum mit prunkvollen Innenräumen und einem englischen Landschaftsgarten.",historismus,#2E4057,,,,,,,,,
room,"Kloster Heisterbach","Das Zisterzienserkloster Heisterbach wurde 1202 gegründet und war eines der bedeutendsten Klöster am Rhein. Die eindrucksvolle gotische Chorruine ist heute das Wahrzeichen des Heisterbacher Tales. Die Legende vom schlafenden Mönch machte das Kloster weit über die Region bekannt.",mittelalter,#5D4037,,,,,,,,,
room,"Rhein & Königswinter am Wasser","Der Rhein prägte die Geschichte Königswinters maßgeblich. Als wichtige Handels- und Schifffahrtsroute verbindet er die Region mit Europa. Von der Uferpromenade blickt man auf das Panorama des Siebengebirges.",neuzeit,#1565C0,,,,,,,,,
room,"Stadtgeschichte Königswinter","Königswinter wurde 1927 zur Stadt erhoben und vereint zahlreiche historisch gewachsene Stadtteile: Rhöndorf – Heimat des ersten Bundeskanzlers Konrad Adenauer – Oberdollendorf mit seinen römischen Funden und Niederdollendorf mit der ältesten Weinbergslage der Region.",neuzeit,#6D4C41,,,,,,,,,
room,"Natur & Geologie Siebengebirge","Das Siebengebirge ist ein Mittelgebirge vulkanischen Ursprungs mit über 40 Erhebungen. Als eines der ältesten Naturschutzgebiete Deutschlands beherbergt es seltene Tier- und Pflanzenarten sowie den weltweit bekannten Drachenfels-Trachyt.",geologie,#33691E,,,,,,,,,
room,"Sagen & Legenden","Das Siebengebirge ist reich an Mythen und Sagen. Von Siegfried und dem Drachen bis zur Rolandssage – die Region inspirierte Dichter und Maler. Die Nibelungenhalle von 1913 widmet sich Wagners Ring-Zyklus mit monumentalen Wandgemälden.",mittelalter,#6A1B9A,,,,,,,,,
vitrine,"Burgruine & Aufstieg","Die Burgruine Drachenfels stammt aus dem 12. Jahrhundert. Besucher können über den historischen Eselspfad oder mit der Zahnradbahn den Gipfel erreichen. Vom Burgfried bietet sich ein Panoramablick über das Rheintal und die Eifel.",,,,showcase,dark,,,,,"Drachenfels & Burgruine",,
vitrine,"Drachenfelsbahn","Die Drachenfelsbahn ist die älteste Zahnradbahn Deutschlands in ununterbrochener Betriebsfolge. Seit 1883 überwindet sie auf 1,5 km einen Höhenunterschied von 180 Metern und ist touristisches Wahrzeichen der Region.",,,,shelf,wood,,,,,"Drachenfels & Burgruine",,
vitrine,"Prunkräume & Kunstschätze","Die Innenräume des Schlosses Drachenburg sind mit historistischen Deckenfresken nach mythologischen Themen und aufwendigem Mobiliar im Stil des 19. Jahrhunderts ausgestattet.",,,,grid,glass,,,,,"Schloss Drachenburg",,
vitrine,"Geschichte des Schlossbaus","Stephan von Sarter ließ das Schloss in nur zwei Jahren erbauen. Das Schloss wechselte viermal den Besitzer und verfiel nach dem Zweiten Weltkrieg. Erst 1986 begann die aufwendige Restaurierung.",,,,showcase,light,,,,,"Schloss Drachenburg",,
vitrine,"Chorruine Heisterbach","Die gotische Chorruine des Klosters Heisterbach gilt als Hauptwerk der hochgotischen Architektur am Rhein. Die Mönche bauten ab 1202 über mehrere Jahrzehnte an der gewaltigen Klosterkirche.",,,,showcase,glass,,,,,"Kloster Heisterbach",,
vitrine,"Mönchsleben & Klosteralltag","Die Zisterzienser führten in Heisterbach ein Leben nach der strengen Regel des Bernhard von Clairvaux. Das Kloster war Zentrum der Geistigkeit und Wirtschaft und besaß umfangreiche Ländereien.",,,,shelf,wood,,,,,"Kloster Heisterbach",,
vitrine,"Rheinschifffahrt durch die Jahrhunderte","Der Rhein war die wichtigste Handelsroute zwischen Köln und dem Süden. Königswinter profitierte vom Schiffsverkehr und war beliebter Anleger für Ausflugsschiffe.",,,,showcase,light,,,,,"Rhein & Königswinter am Wasser",,
vitrine,"Rheinfähre & Flussleben","Die Fähre zwischen Königswinter und Remagen verbindet die Rheinseiten seit Jahrhunderten. Fischerboote und Fähren prägten den Alltag der Rheinanwohner bis weit ins 20. Jahrhundert.",,,,grid,light,,,,,"Rhein & Königswinter am Wasser",,
vitrine,"Altstadt & Marktplatz Königswinter","Die Altstadt mit dem historischen Rathaus und dem Marktplatz ist Zeugnis der städtischen Entwicklung. Historische Gasthäuser erinnern an die goldene Zeit des Rheinromantikers.",,,,showcase,wood,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Rhöndorf & Konrad Adenauer","Rhöndorf ist Geburtsort und letzte Ruhestätte von Konrad Adenauer. Sein Wohnhaus Am Zinsenberg ist heute Museum und Gedenkstätte. Der Rosengarten und der Blick auf das Siebengebirge sind unverändert.",,,,showcase,light,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Oberdollendorf & Niederdollendorf","Römische Funde belegen eine über 2000-jährige Siedlungsgeschichte in den Dollendorf-Ortschaften. Die älteste Weinbergslage der Region liegt an den Hängen zwischen Drachenfels und Rhein.",,,,grid,light,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Drachenfelser Trachyt – Baustein der Geschichte","Der Drachenfelser Trachyt ist ein vulkanisches Gestein aus dem Tertiär. Er wurde seit dem Mittelalter als begehrter Baustein verwendet – für den Kölner Dom und viele Burgen am Rhein. Der Abbau endete 1770.",,,,grid,glass,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Gipfelwelt Siebengebirge","Das Siebengebirge hat über 40 Gipfel. Der Große Ölberg (461 m) ist die höchste Erhebung. Petersberg mit seinem Gästehaus der Bundesregierung und Wolkenburg sind weitere bekannte Gipfel.",,,,showcase,light,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Naturschutz & Waldleben","Das 1958 ausgewiesene Naturschutzgebiet Siebengebirge ist eines der ältesten Deutschlands. Alte Laubwälder mit Orchideenwiesen und Fledermauskolonien sind unter strengem Schutz.",,,,grid,light,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Nibelungensage & Siegfriedsmythos","Der Drachenfels ist eng mit der Nibelungensage verbunden: Hier soll Siegfried den Drachen erschlagen und im Drachenblut gebadet haben. Die Nibelungenhalle widmet sich dieser Sage mit Wandgemälden nach Motiven von Richard Wagner.",,,,spotlight,dark,,,,,"Sagen & Legenden",,
vitrine,"Rolandssage am Rolandsbogen","Roland soll als treuer Paladin Karls des Großen auf dem Rolandsbogen seine letzte Ruhestätte gefunden haben. Der Bogen ist das Fragment einer romanischen Burgkapelle hoch über dem Rhein.",,,,showcase,dark,,,,,"Sagen & Legenden",,
gallery,"Drachenfels Panoramen","Beeindruckende Aussichten auf den Drachenfels und das Rheintal aus verschiedenen Blickwinkeln.",,,,,slider,,,,"Drachenfels & Burgruine",,"Burgruine & Aufstieg"
gallery,"Schloss Drachenburg Impressionen","Außen- und Innenansichten des neogotischen Schlosses Drachenburg.",,,,,slider,,,,"Schloss Drachenburg",,"Prunkräume & Kunstschätze"
gallery,"Klosterruine durch die Jahreszeiten","Die Chorruine von Heisterbach zu verschiedenen Jahreszeiten – von Frühlingsblüte bis Winterschnee.",,,,,masonry,,,,"Kloster Heisterbach",,"Chorruine Heisterbach"
gallery,"Historische Rheinbilder","Historische und zeitgenössische Ansichten des Rheins bei Königswinter und Umgebung.",,,,,slider,,,,"Rhein & Königswinter am Wasser",,"Rheinschifffahrt durch die Jahrhunderte"
gallery,"Königswinter historisch & heute","Historische Fotografien und aktuelle Aufnahmen aus Königswinter und seinen Stadtteilen.",,,,,grid,,,,"Stadtgeschichte Königswinter",,"Altstadt & Marktplatz Königswinter"
gallery,"Siebengebirge Gipfelpanorama","Panoramaaufnahmen der bekanntesten Gipfel: Ölberg – Wolkenburg – Petersberg – Drachenfels.",,,,,masonry,,,,"Natur & Geologie Siebengebirge",,"Gipfelwelt Siebengebirge"
gallery,"Nibelungenhalle Kunstwerke","Monumentale Wandgemälde und Kunstwerke der Nibelungenhalle Königswinter nach Wagners Ring-Motiven.",,,,,grid,,,,"Sagen & Legenden",,"Nibelungensage & Siegfriedsmythos"
gallery,"Rhöndorf & Adenauer Erinnerungen","Fotografien aus dem Wirken Konrad Adenauers und historische Ansichten des Stadtteils Rhöndorf.",,,,,slider,,,,"Stadtgeschichte Königswinter",,"Rhöndorf & Konrad Adenauer"
gallery,"Heisterbacher Tal Natur","Naturaufnahmen aus dem Heisterbacher Tal: Urwälder – Bäche – Wildtiere im Naturschutzgebiet.",,,,,masonry,,,,"Kloster Heisterbach",,"Naturschutz & Waldleben"
gallery,"Weinberge am Drachenfels","Die Steilweinberge am Drachenfels gehören zu den nördlichsten Rotwein-Lagen Deutschlands.",,,,,grid,,,,"Natur & Geologie Siebengebirge",,"Gipfelwelt Siebengebirge"
object,"Drachenfels vom Rhein aus","Panoramafotografie des Drachenfels mit Burgruine und Schloss Drachenburg von der gegenüberliegenden Rheinseite.",mittelalter,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Drachenfels Panoramen","Burgruine & Aufstieg"
object,"Zahnradbahn Drachenfelsbahn","Die historische Zahnradbahn von 1883 am Drachenfels – die älteste ununterbrochen betriebene Zahnradbahn Deutschlands.",neuzeit,,,,,,image,1883,https://upload.wikimedia.org/wikipedia/commons/e/e2/Drachenfelsbahn.jpg,"Drachenfels & Burgruine","Drachenfels Panoramen","Drachenfelsbahn"
object,"Burgruine Drachenfels – Detailansicht","Nahaufnahme der romanischen Mauerwerksreste der Burgruine auf dem Drachenfels-Gipfel.",mittelalter,,,,,,image,1150,,,"Drachenfels Panoramen","Burgruine & Aufstieg"
object,"Drachenfels im Abendlicht","Stimmungsvolle Fotografie der Drachenfels-Silhouette beim Sonnenuntergang über dem Rheintal.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Drachenfels Panoramen","Burgruine & Aufstieg"
object,"Schloss Drachenburg – Außenansicht","Das vollständig restaurierte Schloss Drachenburg in seiner neugotischen Pracht inmitten des Schlossparks.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg Impressionen","Prunkräume & Kunstschätze"
object,"Rittersaal Schloss Drachenburg","Der prächtige Rittersaal mit historistischen Wandmalereien und mittelalterlicher Rüstungssammlung im Erdgeschoss des Schlosses.",historismus,,,,,,image,1884,,,"Schloss Drachenburg Impressionen","Prunkräume & Kunstschätze"
object,"Buntglasfenster Schloss Drachenburg","Eines der farbenprächtigen Buntglasfenster mit mythologischen Darstellungen aus dem 19. Jahrhundert im Treppenhaus des Schlosses.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,,"Schloss Drachenburg Impressionen","Prunkräume & Kunstschätze"
object,"Schloss Drachenburg – Baugeschichte (Dokument)","Historische Baupläne und Dokumente zur Entstehungsgeschichte des Schlosses Drachenburg von 1882.",historismus,,,,,,document,1882,,,"Schloss Drachenburg Impressionen","Geschichte des Schlossbaus"
object,"Portrait Stephan von Sarter","Porträt des Börsenmaklers und Bauherrn Stephan von Sarter (1833–1902) – Initiator des Schlossbaus Drachenburg.",historismus,,,,,,image,1880,,,,"Geschichte des Schlossbaus"
object,"Chorruine Heisterbach – Hauptansicht","Die ikonische Chorruine des Klosters Heisterbach – gotisches Zeugnis der Zisterzienser-Architektur im 13. Jahrhundert.",mittelalter,,,,,,image,1202,https://upload.wikimedia.org/wikipedia/commons/7/78/Chorruine_Heisterbach.jpg,"Kloster Heisterbach","Klosterruine durch die Jahreszeiten","Chorruine Heisterbach"
object,"Chorruine Heisterbach – Innenraum","Blick durch die Bögen der Chorruine in den ehemaligen Innenraum der Klosterkirche von Heisterbach.",mittelalter,,,,,,image,1210,https://upload.wikimedia.org/wikipedia/commons/7/78/Chorruine_Heisterbach.jpg,"Kloster Heisterbach","Klosterruine durch die Jahreszeiten","Chorruine Heisterbach"
object,"Heisterbach Winteransicht","Die Chorruine im Wintermantel – Schneebedeckte Bögen und das stille Heisterbacher Tal im Dezember.",mittelalter,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/7/78/Chorruine_Heisterbach.jpg,"Kloster Heisterbach","Klosterruine durch die Jahreszeiten","Chorruine Heisterbach"
object,"Waldpfad im Heisterbacher Tal","Ein Wanderweg durch den Buchen-Urwald des Heisterbacher Tales führt direkt zur Klosterruine.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/8/88/Trail_Marker_Near_Kloster_Heisterbach.jpg,"Kloster Heisterbach","Heisterbacher Tal Natur","Naturschutz & Waldleben"
object,"Herbstwald im Siebengebirge","Leuchtend roter und goldener Herbstwald im Naturschutzgebiet Siebengebirge – eines der artenreichsten Waldgebiete des Rheinlandes.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/46/Herbstwald_im_Siebengebirge.jpg,"Kloster Heisterbach|Natur & Geologie Siebengebirge","Heisterbacher Tal Natur","Naturschutz & Waldleben"
object,"Zisterzienser-Ordensregel (Faksimile)","Faksimile der Ordensregel der Zisterzienser nach Bernhard von Clairvaux – Grundlage des Klosterlebens in Heisterbach.",mittelalter,,,,,,document,1120,,,,"Mönchsleben & Klosteralltag"
object,"Siebengebirge vom Rhein – Panorama","Panoramaaufnahme des Siebengebirges von der Rheinuferseite aus der Vogelperspektive – Drachenfels im Mittelpunkt.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/2/23/Bonn_Siebengebirge.jpg,"Rhein & Königswinter am Wasser","Historische Rheinbilder","Rheinschifffahrt durch die Jahrhunderte"
object,"Rheinfähre bei Königswinter","Die Rheinfähre verbindet Königswinter mit dem gegenüberliegenden Ufer und ist ein unverzichtbares Verkehrsmittel des Rheinlandes.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/8/81/F%C3%A4hre_bei_K%C3%B6nigswinter.jpg,"Rhein & Königswinter am Wasser","Historische Rheinbilder","Rheinfähre & Flussleben"
object,"Dampfschiff am Königswinterer Anleger","Historische Aufnahme eines Dampfschiffes am Anlegesteg Königswinter – Beginn des Massentourismus im 19. Jahrhundert.",neuzeit,,,,,,image,1890,https://upload.wikimedia.org/wikipedia/commons/2/23/Bonn_Siebengebirge.jpg,"Rhein & Königswinter am Wasser","Historische Rheinbilder","Rheinschifffahrt durch die Jahrhunderte"
object,"Königswinter Rheinpromenade","Historische Ansichtskarte der Königswinterer Rheinpromenade mit Blick auf das Siebengebirge um 1900.",neuzeit,,,,,,image,1900,https://upload.wikimedia.org/wikipedia/commons/2/23/Bonn_Siebengebirge.jpg,"Rhein & Königswinter am Wasser","Historische Rheinbilder","Rheinschifffahrt durch die Jahrhunderte"
object,"Rathaus Königswinter","Das historische Rathaus von Königswinter am Marktplatz – Zeugnis des frühen 20. Jahrhunderts.",neuzeit,,,,,,image,1927,https://upload.wikimedia.org/wikipedia/commons/7/7c/Koenigswinter_Rathaus.jpg,"Stadtgeschichte Königswinter","Königswinter historisch & heute","Altstadt & Marktplatz Königswinter"
object,"Adenauers Wohnhaus Rhöndorf","Das schlichte Wohnhaus Konrad Adenauers am Zinsenberg in Rhöndorf – heute Museum und Gedenkstätte des ersten Bundeskanzlers.",neuzeit,,,,,,image,1937,https://upload.wikimedia.org/wikipedia/commons/e/e0/Adenauer_haus_rh%C3%B6ndorf_20080509.jpg,"Stadtgeschichte Königswinter","Rhöndorf & Adenauer Erinnerungen","Rhöndorf & Konrad Adenauer"
object,"Adenauer-Rosengarten Rhöndorf","Der Rosengarten Konrad Adenauers in Rhöndorf – hier züchtete der Bundeskanzler in seiner Freizeit Rosen als Ausgleich zur Politik.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Adenauer_haus_rh%C3%B6ndorf_20080509.jpg,"Stadtgeschichte Königswinter","Rhöndorf & Adenauer Erinnerungen","Rhöndorf & Konrad Adenauer"
object,"Weinberge Rhöndorf","Die Steilweinberge von Rhöndorf am Fuß des Drachenfels – Heimat des Siebengebirgs-Rotweins aus der Spätburgunder-Traube.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Drachenfels_%28Siebengebirge%29_from_Rh%C3%B6ndorf.jpg,"Stadtgeschichte Königswinter|Natur & Geologie Siebengebirge","Weinberge am Drachenfels|Rhöndorf & Adenauer Erinnerungen","Rhöndorf & Konrad Adenauer"
object,"Oberdollendorf – Historische Ansicht","Blick auf den Ortskern von Oberdollendorf mit alten Fachwerkhäusern und der St.-Laurentius-Kirche.",neuzeit,,,,,,image,1920,https://upload.wikimedia.org/wikipedia/commons/7/7c/Koenigswinter_Rathaus.jpg,"Stadtgeschichte Königswinter","Königswinter historisch & heute","Oberdollendorf & Niederdollendorf"
object,"Römischer Meilenstein aus Niederdollendorf","Replikat eines römischen Meilensteins – Fund aus Niederdollendorf als Beleg der Römerstraße entlang des Rheins.",antike,,,,,,image,100,,,"Königswinter historisch & heute","Oberdollendorf & Niederdollendorf"
object,"Drachenfelser Trachyt – Gesteinskarton","Gesteinskarton mit einem Stück Drachenfels-Trachyt. Das olivgrüne Vulkangestein wurde seit dem 9. Jahrhundert abgebaut.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/44/Drachenfels_Trachyt.jpg,"Natur & Geologie Siebengebirge",,"Drachenfelser Trachyt – Baustein der Geschichte"
object,"Steinbruch Drachenfels (historisch)","Historische Aufnahme des aufgelassenen Steinbruchs am Drachenfels – der Abbau des berühmten Trachyts endete 1770.",geologie,,,,,,image,1770,https://upload.wikimedia.org/wikipedia/commons/4/44/Drachenfels_Trachyt.jpg,"Natur & Geologie Siebengebirge",,"Drachenfelser Trachyt – Baustein der Geschichte"
object,"Großer Ölberg – Gipfelansicht","Der Große Ölberg (461 m) ist die höchste Erhebung des Siebengebirges. Auf dem Gipfel steht eine evangelische Kapelle.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/5/58/Grosser_Oelberg_Koenigswinter_2300.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt Siebengebirge"
object,"Wolkenburg im Siebengebirge","Die bewaldete Wolkenburg (324 m) erhebt sich markant über das Rheintal – ein beliebtes Wanderziel mit Ausblick.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/6/66/Wolkenburg_Breiberg.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt Siebengebirge"
object,"Löwenburg – Ruinen","Die Ruinen der Löwenburg (455 m) liegen weitgehend verborgen im Wald des Siebengebirges – ein vergessenes Baudenkmal.",mittelalter,,,,,,image,1200,https://upload.wikimedia.org/wikipedia/commons/e/e9/L%C3%B6wenburg_Siebengebirge.JPG,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt Siebengebirge"
object,"Petersberg – Gästehaus der Bundesregierung","Das Hotel Petersberg war jahrzehntelang das Gästehaus der Bundesregierung. Auf dem gleichnamigen Berg empfing Adenauer internationale Staatsgäste.",neuzeit,,,,,,image,1955,https://upload.wikimedia.org/wikipedia/commons/e/ec/Petersberg.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Gipfelwelt Siebengebirge"
object,"Siebengebirge Herbstlaub","Leuchtend roter Laubwald im Siebengebirge – das Naturschutzgebiet zählt zu den artenreichsten Laub-Mischwäldern Nordrhein-Westfalens.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/46/Herbstwald_im_Siebengebirge.jpg,"Natur & Geologie Siebengebirge","Heisterbacher Tal Natur","Naturschutz & Waldleben"
object,"Weinberg am Drachenfels – Herbstlese","Die Spätburgunder-Trauben der Weinberge am Drachenfels werden von Hand gelesen – nördlichster Rotweinanbau am Rhein.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Drachenfels_%28Siebengebirge%29_from_Rh%C3%B6ndorf.jpg,"Natur & Geologie Siebengebirge","Weinberge am Drachenfels","Gipfelwelt Siebengebirge"
object,"Nibelungenhalle Königswinter","Die Nibelungenhalle von 1913 wurde vom Berliner Architekten Clemens Schürmann nach Motiven von Wagners Ring des Nibelungen gestaltet.",neuzeit,,,,,,image,1913,https://upload.wikimedia.org/wikipedia/commons/4/45/Nibelungenhalle_Koenigswinter.jpg,"Sagen & Legenden","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfriedsmythos"
object,"Siegfriedsgemälde – Drachentötung","Monumentales Wandgemälde der Nibelungenhalle: Siegfried erschlägt den Drachen Fafnir am Drachenfels – nach dem Nibelungenlied.",mittelalter,,,,,,image,1913,https://upload.wikimedia.org/wikipedia/commons/4/45/Nibelungenhalle_Koenigswinter.jpg,"Sagen & Legenden","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfriedsmythos"
object,"Drachenskulptur Nibelungenhalle","Die lebensgroße Drachenskulptur im Drachenschauraum der Nibelungenhalle – nach Vorbild des Sagendrachen aus dem Nibelungenlied.",neuzeit,,,,,,image,1913,https://upload.wikimedia.org/wikipedia/commons/4/45/Nibelungenhalle_Koenigswinter.jpg,"Sagen & Legenden","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfriedsmythos"
object,"Rolandsbogen über dem Rhein","Der Rolandsbogen – Fragment einer romanischen Burgkapelle auf einem Felsvorsprung hoch über dem Rhein zwischen Königswinter und Bad Honnef.",mittelalter,,,,,,image,1000,https://upload.wikimedia.org/wikipedia/commons/3/36/Rolandsbogen1.jpg,"Sagen & Legenden",,"Rolandssage am Rolandsbogen"
object,"Roland-Sage – Zeichnung","Historische Illustration zur Rolandssage: Roland und seine Geliebte Hildegunde – getrennt durch einen verfrühten Trauerbericht.",mittelalter,,,,,,image,1850,https://upload.wikimedia.org/wikipedia/commons/3/36/Rolandsbogen1.jpg,"Sagen & Legenden",,"Rolandssage am Rolandsbogen"
object,"Die Sage vom Drachenfels – Buchillustration","Buchillustration des 19. Jahrhunderts zur Sage des Drachen vom Drachenfels und seiner Besiegung durch den Helden Siegfried.",mittelalter,,,,,,image,1880,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Sagen & Legenden","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfriedsmythos"
object,"Sieben Burgen – Panoramakarte","Historische Panoramakarte des Siebengebirges mit den sieben Burgen: Drachenfels – Löwenburg – Wolkenburg – Drachenburg – Petersberg – Rolandsbogen – Heisterbach.",mittelalter,,,,,,image,1780,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Sagen & Legenden|Natur & Geologie Siebengebirge",,"Nibelungensage & Siegfriedsmythos"
